movieID,title,releaseYear,url,directorsName
34,Doom Generation, The,1995,http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995), Gregg Araki	
255,My Best Friend's Wedding,1997,http://us.imdb.com/M/title-exact?My+Best+Friend%27s+Wedding+(1997), P.J. Hogan 
903,Afterglow,1997,http://us.imdb.com/M/title-exact?imdb-title-118566,Alan Rudolph 
691,Dark City,1998,http://us.imdb.com/M/title-exact?imdb-title-118929,Alex Proyas
68,Crow, The,1994,http://us.imdb.com/M/title-exact?Crow,%20The%20(1994),Alex Proyas
1538,All Over Me,1997,http://us.imdb.com/M/title-exact?All%20Over%20Me%20%281997%29,   Alex Sichel
1234,Chairman of the Board,1998,http://us.imdb.com/Title?Chairman+of+the+Board+(1998),Alex Zamm	
1654,Chairman of the Board,1998,http://us.imdb.com/Title?Chairman+of+the+Board+(1998),Alex Zamm	
3,Four Rooms,1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995), Allison Anders
79,Fugitive, The,1993,http://us.imdb.com/M/title-exact?Fugitive,%20The%20(1993),Andrew Davis 
270,Gattaca,1997,http://us.imdb.com/M/title-exact?Gattaca+(1997),Andrew Niccol
752,Replacement Killers, The,1998,http://us.imdb.com/M/title-exact?Replacement+Killers%2C+The+(1998), Antoine Fuqua
348,Desperate Measures,1998,http://us.imdb.com/Title?Desperate+Measures+(1998),Barbet Schroeder 
329,Desperate Measures,1998,http://us.imdb.com/Title?Desperate+Measures+(1998),Barbet Schroeder 
355,Sphere,1998,http://us.imdb.com/M/title-exact?Sphere+(1998), Barry Levinson
347,Wag the Dog,1998,http://us.imdb.com/M/title-exact?imdb-title-120885, Barry Levinson
257,Men in Black,1997,http://us.imdb.com/M/title-exact?Men+in+Black+(1997),Barry Sonnenfeld
4,Get Shorty,1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),Barry Sonnenfeld
122,Cable Guy, The,1996,http://us.imdb.com/M/title-exact?Cable%20Guy,%20The%20(1996),Ben Stiller
990,Anna Karenina,1997,http://us.imdb.com/M/title-exact?Anna%20Karenina%20%281997%29, Bernard Rose
1602,Price Above Rubies, A,1998,http://us.imdb.com/Title?Price+Above+Rubies,+A+(1998),Boaz Yakin
1648,Niagara, Niagara,1998,http://us.imdb.com/Title?Niagara,+Niagara+(1997),Bob Gosse 
918,City of Angels,1998,http://us.imdb.com/Title?City+of+Angels+(1998),Brad Silberling
76,Carlito's Way,1993,http://us.imdb.com/M/title-exact?Carlito's%20Way%20(1993), Brian De Palma
1670,Tainted,1998,http://us.imdb.com/M/title-exact?Tainted+(1998),Brian Evans
1062,Four Days in September,1998,http://us.imdb.com/M/title-exact?imdb-title-119815,Bruno Barreto
315,Apt Pupil,1998,http://us.imdb.com/Title?Apt+Pupil+(1998),  Bryan Singer
12,Usual Suspects, The,1995,http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995),  Bryan Singer
237,Jerry Maguire,1996,http://us.imdb.com/M/title-exact?Jerry%20Maguire%20(1996), Cameron Crowe
1608,Buddy,1997,http://us.imdb.com/M/title-exact?Buddy%20%281997%29,Caroline Thompson 
261,Air Bud,1997,http://us.imdb.com/M/title-exact?Air+Bud+(1997),Charles Martin Smith
308,FairyTale: A True Story,1997,http://us.imdb.com/M/title-exact?Fairytale:+A+True+Story+(1997),Charles Sturridge
94,Home Alone,1990,http://us.imdb.com/M/title-exact?Home%20Alone%20(1990), Chris Columbus
8,Babe,1995,http://us.imdb.com/M/title-exact?Babe%20(1995),  Chris Noonan
359,Assignment, The,1997,http://us.imdb.com/M/title-exact?Assignment%2C+The+(1997),Christian Duguay
72,Mask, The,1994,http://us.imdb.com/M/title-exact?Mask,%20The%20(1994),Chuck Russell
291,Absolute Power,1997,http://us.imdb.com/M/title-exact?Absolute%20Power%20(1997), Clint Eastwood
312,Midnight in the Garden of Good and Evil,1997,http://us.imdb.com/M/title-exact?Midnight+in+the+Garden+of+Good+and+Evil+(1997), Clint Eastwood
203,Unforgiven,1992,http://us.imdb.com/M/title-exact?Unforgiven%20(1992), Clint Eastwood
302,L.A. Confidential,1997,http://us.imdb.com/M/title-exact?L%2EA%2E+Confidential+(1997),Curtis Hanson
1096,Commandments,1997,http://us.imdb.com/Title?Commandments+(1997),Daniel Taplitz
886,Life Less Ordinary, A,1997,http://us.imdb.com/M/title-exact?Life+Less+Ordinary,+A+(1997),Danny Boyle
1594,Everest,1998,http://us.imdb.com/Title?Everest+(1998),David Breashears
325,Crash,1997,http://us.imdb.com/M/title-exact?Crash%20(1996),David Cronenberg	
333,Game, The,1997,http://us.imdb.com/M/title-exact?Game%2C+The+(1997),David Fincher		
11,Seven,1995,http://us.imdb.com/M/title-exact?Se7en%20(1995),David Fincher		
1256,Designated Mourner, The,1997,http://us.imdb.com/M/title-exact?Designated%20Mourner%2C%20The%20%281997%29,David Hare
1257,Designated Mourner, The,1997,http://us.imdb.com/M/title-exact?Designated%20Mourner%2C%20The%20%281997%29,David Hare
